[rank=62,song=Lo Vas A Olvidar,lastweek=0,imagesrc=null,artist=Billie Eilish & ROSALIA]
[rank=63,song=Tyler Herro,lastweek=0,imagesrc=null,artist=Jack Harlow]
[rank=64,song=The Good Ones,lastweek=0,imagesrc=null,artist=Gabby Barrett]
[rank=65,song=Golden,lastweek=0,imagesrc=null,artist=Harry Styles]
[rank=66,song=Forever After All,lastweek=0,imagesrc=null,artist=Luke Combs]
[rank=67,song=Buss It,lastweek=0,imagesrc=null,artist=Erica Banks]
[rank=68,song=Long Live,lastweek=0,imagesrc=null,artist=Florida Georgia Line]
[rank=69,song=Monsters,lastweek=0,imagesrc=null,artist=All Time Low Featuring Demi Lovato & blackbear]
[rank=70,song=Monster,lastweek=0,imagesrc=null,artist=Shawn Mendes & Justin Bieber]
[rank=71,song=Holiday,lastweek=0,imagesrc=null,artist=Lil Nas X]
[rank=72,song=Still Goin Down,lastweek=0,imagesrc=null,artist=Morgan Wallen]
[rank=73,song=Goosebumps,lastweek=0,imagesrc=null,artist=Travis Scott & HVME]
[rank=74,song=Cover Me Up,lastweek=0,imagesrc=null,artist=Morgan Wallen]
[rank=75,song=Bichota,lastweek=0,imagesrc=null,artist=Karol G]
[rank=76,song=Warning,lastweek=0,imagesrc=null,artist=Morgan Wallen]
[rank=77,song=865,lastweek=0,imagesrc=null,artist=Morgan Wallen]
[rank=78,song=Take You Dancing,lastweek=0,imagesrc=null,artist=Jason Derulo]
[rank=79,song=So Done,lastweek=0,imagesrc=null,artist=The Kid LAROI]
[rank=80,song=Mr. Right Now,lastweek=0,imagesrc=null,artist=21 Savage & Metro Boomin Featuring Drake]
[rank=81,song=Prisoner,lastweek=0,imagesrc=null,artist=Miley Cyrus Featuring Dua Lipa]
[rank=82,song=Big, Big Plans,lastweek=0,imagesrc=null,artist=Chris Lane]
[rank=83,song=Hit Different,lastweek=0,imagesrc=null,artist=SZA Featuring Ty Dolla $ign]
[rank=84,song=Still Trappin',lastweek=0,imagesrc=null,artist=Lil Durk & King Von]
[rank=85,song=Girl Like Me,lastweek=0,imagesrc=null,artist=Black Eyed Peas X Shakira]
[rank=86,song=Lady,lastweek=0,imagesrc=null,artist=Brett Young]
[rank=87,song=Momma's House,lastweek=0,imagesrc=null,artist=Dustin Lynch]
[rank=88,song=Moonwalking In Calabasas,lastweek=0,imagesrc=null,artist=DDG]
[rank=89,song=Somebody Like That,lastweek=0,imagesrc=null,artist=Tenille Arts]
[rank=90,song=Hell Of A View,lastweek=0,imagesrc=null,artist=Eric Church]
[rank=91,song=Heat Waves,lastweek=0,imagesrc=null,artist=Glass Animals]
[rank=92,song=Masterpiece,lastweek=0,imagesrc=null,artist=DaBaby]
[rank=93,song=Champagne Night,lastweek=0,imagesrc=null,artist=Lady A]
[rank=94,song=Drankin N Smokin,lastweek=0,imagesrc=null,artist=Future & Lil Uzi Vert]
[rank=95,song=You Got It,lastweek=0,imagesrc=null,artist=VEDO]
[rank=96,song=One Too Many,lastweek=0,imagesrc=null,artist=Keith Urban Duet With P!nk]
[rank=97,song=Opp Stoppa,lastweek=0,imagesrc=null,artist=YBN Nahmir Featuring 21 Savage]
[rank=98,song=Kacey Talk,lastweek=0,imagesrc=null,artist=YoungBoy Never Broke Again]
[rank=99,song=Adderall (Corvette Corvette),lastweek=0,imagesrc=null,artist=Popp Hunna]
[rank=100,song=Antes,lastweek=0,imagesrc=null,artist=Anuel AA & Ozuna]
